feature,importance,importance_xgb,importance_lgbm
avg_trace_duration_ms,0.119895264251904,0.09595491206545186,0.14383561643835616
call_type_diversity,0.0,0.0,0.0
critical_path_mean_ms,0.05079696354234617,0.08515557092030877,0.01643835616438356
entrypoint_trace_ratio,0.0,0.0,0.0
error_span_ratio,0.02679619066706726,0.05359238133413452,0.0
error_trace_ratio,0.04586364278280345,0.08624783351081237,0.005479452054794521
latency_cv,0.10437955514506145,0.0868413020709448,0.12191780821917808
max_trace_duration_ms,0.05707435855915331,0.07579255273474499,0.038356164383561646
mean_span_count,0.11232021765840866,0.060256873672981714,0.1643835616438356
p95_trace_duration_ms,0.10339336637082444,0.07117029438548449,0.13561643835616438
request_fanout_mean,0.07396730139635595,0.06574282197079409,0.0821917808219178
service_count,0.04816616061701239,0.09633232123402478,0.0
service_role_count,0.04090295823446568,0.08180591646893136,0.0
stateful_trace_ratio,0.0,0.0,0.0
trace_count,0.21644402077459723,0.14110721963138625,0.29178082191780824
